Counter	Image	class label	Myr	Viewpoint	Delta PA	v_asym	s_asym	resids	lambda_r	epsilon	A	A_2	deltapos	deltapos2
0	fg3_m12	1	1.66	0	6.48	0.04	0.06	10.21	0.34	0.13	11.71	10.78	0.0	0.21
1	fg3_m12	1	1.66	1	0.75	0.03	0.07	21.99	0.63	0.55	16.92	37.34	0.96	0.88
2	fg3_m12	1	1.66	2	1.81	0.05	0.07	26.4	0.53	0.37	5.95	7.49	0.3	0.48
3	fg3_m12	1	1.66	5	2.83	0.02	0.04	9.11	0.66	0.61	10.43	15.44	0.0	0.21
4	fg3_m12	1	1.76	0	12.19	0.05	0.09	11.41	0.37	0.11	19.03	21.18	0.3	0.21
5	fg3_m12	1	1.76	1	7.52	0.05	0.07	23.52	0.66	0.51	16.16	26.35	0.96	0.48
6	fg3_m12	1	1.76	2	4.13	0.05	0.05	22.65	0.66	0.32	13.91	35.79	1.09	0.21
7	fg3_m12	1	1.76	3	5.8	0.05	0.11	18.07	0.56	0.3	34.28	55.9	1.63	0.48
8	fg3_m12	1	1.76	4	34.22	0.07	0.07	10.67	0.46	0.06	9.52	14.6	0.86	0.21
9	fg3_m12	1	1.76	6	76.7	0.11	0.08	32.76	0.63	0.68	20.5	23.66	1.63	0.48
10	fg3_m12	1	1.81	0	16.6	0.06	0.04	17.79	0.42	0.3	19.37	34.39	0.43	0.21
11	fg3_m12	1	1.81	1	33.67	0.06	0.06	23.52	0.55	0.59	6.49	11.39	1.92	0.21
12	fg3_m12	1	1.81	2	68.62	0.04	0.06	28.67	0.54	0.16	15.06	25.0	0.43	0.21
13	fg3_m12	1	1.81	3	44.11	0.08	0.13	82.26	0.7	0.58	2.83	10.13	0.91	1.3
14	fg3_m12	1	1.81	4	47.83	0.35	0.07	11.92	0.32	0.27	36.72	43.98	3.54	0.21
15	fg3_m12	1	1.81	5	64.18	0.3	0.06	22.83	0.68	0.59	38.55	57.1	1.25	0.48
16	fg3_m12	1	1.81	6	15.55	0.07	0.07	96.85	0.55	0.6	28.46	61.81	1.55	1.56
17	fg3_m12	1	1.86	0	18.2	0.05	0.03	18.48	0.31	0.16	12.68	13.21	0.43	0.21
18	fg3_m12	1	1.86	1	36.49	0.07	0.05	13.37	0.53	0.4	25.13	40.23	0.91	0.48
19	fg3_m12	1	1.86	2	27.29	0.05	0.07	11.89	0.43	0.28	14.88	18.46	0.3	0.48
20	fg3_m12	1	1.86	3	12.06	0.1	0.09	15.12	0.57	0.57	9.86	26.1	0.61	1.07
21	fg3_m12	1	1.86	4	37.25	0.07	0.03	6.93	0.14	0.12	42.49	30.91	0.43	0.21
22	fg3_m12	1	1.86	6	74.2	0.1	0.08	13.09	0.52	0.66	5.48	13.16	2.5	0.48
23	fg3_m12	1	1.91	0	19.91	0.1	0.06	23.34	0.36	0.19	26.43	39.91	0.43	0.48
24	fg3_m12	1	1.91	2	6.75	0.06	0.04	12.26	0.45	0.34	11.65	30.37	0.3	0.21
25	fg3_m12	1	1.91	3	29.08	0.08	0.06	17.3	0.49	0.52	11.27	13.82	0.3	0.21
26	fg3_m12	1	1.91	4	33.83	0.1	0.08	8.95	0.16	0.09	4.85	5.17	0.3	0.21
27	fg3_m12	1	1.91	6	67.6	0.12	0.07	18.96	0.34	0.62	7.83	8.54	0.43	0.21
28	fg3_m12	1	2.0	0	1.24	0.06	0.06	19.37	0.39	0.27	14.45	12.36	0.3	0.21
30	fg3_m12	1	2.0	2	1.53	0.08	0.05	23.61	0.41	0.25	11.79	17.72	0.43	0.21
31	fg3_m12	1	2.0	3	0.5	0.17	0.06	23.68	0.27	0.3	24.18	16.95	0.3	0.48
32	fg3_m12	1	2.0	4	66.22	0.75	0.08	6.92	0.15	0.04	51.28	22.34	0.3	0.21
34	fg3_m12	1	2.0	6	31.9	0.12	0.12	14.31	0.59	0.55	27.79	35.21	1.25	0.21
35	fg3_m12	1	2.05	0	8.24	0.05	0.04	21.04	0.44	0.44	15.68	19.68	0.61	0.88
36	fg3_m12	1	2.05	1	33.17	0.08	0.06	22.15	0.18	0.34	26.5	40.63	0.43	0.88
37	fg3_m12	1	2.05	2	7.99	0.11	0.06	29.39	0.33	0.05	25.29	13.05	0.0	0.64
38	fg3_m12	1	2.05	3	32.13	0.12	0.05	26.05	0.35	0.32	3.69	5.77	0.3	0.64
39	fg3_m12	1	2.05	4	21.86	0.08	0.11	16.99	0.26	0.2	35.19	24.26	0.3	0.21
40	fg3_m12	1	2.05	5	5.85	0.14	0.05	49.66	0.43	0.55	31.99	27.92	0.96	1.68
41	fg3_m12	1	2.05	6	59.97	0.19	0.04	31.29	0.39	0.52	26.99	22.14	0.61	1.16
